pname,pos,team,age,gp,w,l,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,+/-
Paolo Banchero,PF,ORL,-1.3851037527546926,0.9669320739440028,0.47059652482777153,1.2596258938163045,1.5968604358532619,1.8270277777471036,1.6042386788110576,1.9387264456576105,-0.4040845994387985,0.46220788934240103,0.7920477827228619,-0.1509944434779222,2.924159404223438,3.280031454653427,0.05611310247796553,0.6895853523055083,1.9037371731478234,1.6358553600638506,1.1759224596719813,2.3734920184118162,0.9348539005638493,0.6614350164912454,1.0318880697419017,1.6678635201833518,1.1314633530036962,-0.14192829644558866,-1.4452111754519277
RJ Barrett,SG,NYK,-0.921956975064645,1.0080322671690365,1.0965823809922524,0.6583832325444327,1.6524423305800415,1.8149638391283802,1.7783504177213958,2.085099056289686,-0.3343974837431943,1.053351822861017,1.4448497697472757,-0.06155347529466047,1.9408225386667683,2.1856870225820244,0.06602360246911292,0.22907126366253014,1.137783461522464,0.9251172185731006,0.6511578491815182,1.7548993940988493,-0.091166475349104,-0.2425802518623646,1.3203209408532943,1.235030519564831,-0.11923588213813885,-0.14192829644558866,-0.41683022946111264
Keldon Johnson,SF,SAS,-0.6903835862196214,0.5970303349187002,-0.5031592514280878,1.6354025571112245,1.152205278039028,1.7224736430515017,1.7390348637739002,1.9143310105522646,-0.15520204338306776,1.2668204655205173,1.5505415200274186,0.08006139099550393,1.5153402410701327,1.684754712126805,0.11062085242927579,0.15231891555536708,0.8022227878580209,0.6496373187704844,0.5122495699340427,1.2394055405047102,0.43953371908863054,-0.39324946325463295,0.5005643597998624,1.156537488364581,0.10816397879674026,-0.14192829644558866,-3.3003297446902606
Spencer Dinwiddie,PG,BKN,0.9306301356955448,1.2546334265192383,1.166136365010528,1.0341598958393525,1.955594236753611,1.6903031400682396,1.4975250323821407,1.7435629648148436,-0.2945762747742775,2.0385917120587105,2.0665659478657648,0.3781979516063766,1.7328089709528576,1.7078746649170458,0.4228016021504137,-0.38494752119477416,0.6563268427865239,0.3851766149599728,3.0743356093874805,1.428419953489228,1.1825139913014588,0.09642547377023915,1.4417663602686177,1.7351432612121374,0.5629637006664985,-0.14192829644558866,-0.05387224852317801
Kevin Durant,PF,PHX,1.8569236910756397,-0.060572756681837966,0.6792584768825984,-0.844723420635247,0.6770893001889383,1.684271170758878,1.6267047096381981,1.233969431503175,0.9199705987776887,0.5935732079020936,0.4501038847576928,0.6390674421408902,2.1015602955366086,1.738701268637367,0.953013351676791,-0.5960164784894724,1.0502458944795658,0.6220893287902227,0.9135401544267497,1.6174343664737454,0.014973563538442904,1.7161194962371236,0.10586674670006178,1.3393141181594486,0.10816397879674026,0.49496002541948975,1.7340318798007226
Kyle Kuzma,SF,WAS,0.23590996916047358,0.6381305281437337,0.3314885567912202,0.8086938978624006,1.3653096604412647,1.666175262830793,1.789583433134966,1.99293852366949,-0.19502325235198523,1.6937577508395179,2.010611491835101,0.10987504705659108,0.8345685649155153,0.9911561284195781,0.01647110251337671,0.13313082852857636,1.8672631868799492,1.4485290281980714,0.9444086609261888,2.201660733880437,0.08573358946347417,0.28476198801057456,0.8041779083381705,1.3785606337595735,1.1314633530036962,0.49496002541948975,0.06711374512280022
Tyler Herro,PG,MIA,-0.6903835862196214,0.7614311078188346,0.8879204289374254,0.4329172345674808,1.4824199844834962,1.6460686984662543,1.6491707404653384,1.9034885949498888,-0.28462097253204816,2.399846338097865,2.358772551581455,0.44527867774382285,0.8062030784090729,0.5672903272651617,1.0273421016103954,-0.4041356082215649,1.3201533928618354,0.881040434604682,1.2608108525454387,1.6518006233800213,0.6164337839012086,-0.20491294901429752,0.1362281015538926,1.3404354471765951,0.22186390926417981,0.49496002541948975,1.142544799753718
Buddy Hield,SG,IND,0.9306301356955448,1.295733619744272,0.748812460900874,1.5602472244522405,1.660209232899941,1.6400367291568925,1.5817726479839171,1.7110357180077158,-0.09547022992969297,3.7956028477945973,3.2291752009473393,0.7955891364615985,0.2010726996049686,0.15883782797090593,0.47235410210614986,0.3633878728500654,1.3201533928618354,1.101424354446775,0.8363688881781522,1.3253211827704,2.0670143153643497,0.1717600794663733,0.97116536003424,1.4918148644913627,-0.11923588213813885,-0.14192829644558866,-0.5647019994728638
Fred VanVleet,SG,TOR,0.6990567468505211,0.8436314942689019,0.6792584768825984,0.8086938978624006,1.7246502505853551,1.6219408212288076,1.3683453551260834,1.9116204066516707,-0.7425648756745927,2.465528997377711,2.7877567144832125,0.17695577319403788,1.6004367005894597,1.3456620712032719,0.8489531017697446,-0.3465713471411926,0.7146852208151228,0.4402725949204961,2.9199930768902855,1.342504311223538,3.1637947172023346,0.6237677136431783,1.53285042483011,1.917919891007005,0.676663631133938,0.49496002541948975,1.3105809020397987
Paul George,F,LAC,1.625350302230616,0.30932898234346473,0.5401505088460471,-0.018014761386423068,1.0012361141959853,1.615908851919446,1.4919085246753556,1.6188751853875205,-0.10542553217192162,1.6609164211995946,1.6686675938699316,0.3931047796369204,1.619347024927088,1.430435231434155,0.7151613518892568,-0.058750041739331245,1.0575406917331407,0.7818676706757401,1.3225478655443166,1.9610969355365049,1.748594198701709,-0.054243737622029185,1.0167073923149863,1.4133218332911128,0.44926377019905894,0.49496002541948975,1.0551660265649558
